"effect_id";"lit_id";"authors";"taxon";"tax_group";"year";"t_abund";"t_abund_sd";"c_abund";"c_abund_sd";"t_rich";"t_rich_sd";"c_rich";"c_rich_sd";"t_sites";"c_sites";"aes_age";"plant_rich";"land_div";"tas_mean";"tas_winter";"pr_sum";"pr_winter"
"1";"61";"Frank et al.";"others";"beetles";2001;NA;NA;NA;NA;24.7;4.8;17.2;3.4;4;4;1;25;0.413029365563998;9.7229167;4.405;1507.4275;607.405
"2";"61";"Frank et al.";"others";"beetles";2001;NA;NA;NA;NA;30.9;6.4;17.2;3.4;4;4;2;25;0.413029365563998;9.7229167;4.405;1507.4275;607.405
"3";"61";"Frank et al.";"others";"beetles";2001;NA;NA;NA;NA;33;3.4;17.2;3.4;4;4;3;25;0.413029365563998;9.7229167;4.405;1507.4275;607.405
"4";"61";"Frank et al.";"others";"beetles";2001;NA;NA;NA;NA;32.2;6.2;17.2;3.4;4;4;4;25;0.413029365563998;9.7229167;4.405;1507.4275;607.405
"5";"15";"Balmer et al.";"carabidae";"beetles";2007;34.4;5.2;13.5;2;9.1;1.4;4.3;0.4;2;2;1;2;0.535712183715293;10.9416667;5.49;896.805;315.545
"6";"15";"Balmer et al.";"staphylinidae";"beetles";2007;9.6;2.5;66.9;36.6;5.6;0.8;5.6;0.7;2;2;1;2;0.535712183715293;10.9416667;5.49;896.805;315.545
"7";"15";"Balmer et al.";"others";"spiders";2007;21.6;4.5;24.9;6.2;6.6;0.4;5.3;0.6;2;2;1;2;0.535712183715293;10.9416667;5.49;896.805;315.545
"8";"49";"Ditner et al.";"carabidae";"beetles";2010;1580.1;474;859.8;86;35;3.4;22.7;2.6;7;7;1;4;0.823828726177599;9.1214286;2.5642857;1071.152857;381.4514286
"9";"49";"Ditner et al.";"araneae";"spiders";2010;340;124.4;491;265.6;23;2.9;14.3;1.1;7;7;1;4;0.823828726177599;9.1214286;2.5642857;1071.152857;381.4514286
"10";"17";"Balzan et al.";"carabidae";"beetles";2011;6.8;2.9;0.5;0.3;NA;NA;NA;NA;1;1;1;9;0.672885751170109;16.1583333;9.89;501.79;593.86
