"Model";"Factor_level";"σ_2";"Q";"Q_df";"Q_pval";"k";"AICc";"Factor";"Estimate";"SE";"z";"ci.lb";"ci.ub";"pval"
"Beetle abundance - Overall effect";"lit_id";0.599949444953226;270.722;94;"<0.0001";95;267.5;"intrcpt";0.346;0.161711908416096;2.14;0.029;0.663;0.032
"Beetle abundance - Minimal model";"lit_id";1.28608624184567;181.091;62;"<0.0001";74;190.4;"intrcpt";10.728;4.20792334553333;2.549;2.481;18.975;0.011
"Beetle abundance - Minimal model";"lit_id";1.28608624184567;181.091;62;"<0.0001";74;190.4;"aes_age";-0.126;0.0590745108268184;-2.135;-0.242;-0.01;0.033
"Beetle abundance - Minimal model";"lit_id";1.28608624184567;181.091;62;"<0.0001";74;190.4;"pr_sum";-0.001;0.000618051049495886;-1.682;-0.002;0;0.093
"Beetle abundance - Minimal model";"lit_id";1.28608624184567;181.091;62;"<0.0001";74;190.4;"pr_winter";0.003;0.00178037237436801;1.613;-0.001;0.006;0.107
"Beetle abundance - Minimal model";"lit_id";1.28608624184567;181.091;62;"<0.0001";74;190.4;"tas_mean";-1.179;0.488283165991872;-2.414;-2.136;-0.222;0.016
"Beetle abundance - Minimal model";"lit_id";1.28608624184567;181.091;62;"<0.0001";74;190.4;"tas_winter";0.45;0.254207175624743;1.77;-0.048;0.948;0.077
"Beetle abundance - Minimal model";"lit_id";1.28608624184567;181.091;62;"<0.0001";74;190.4;"land_div";-14.804;5.80422975977093;-2.55;-26.18;-3.427;0.011
"Beetle abundance - Minimal model";"lit_id";1.28608624184567;181.091;62;"<0.0001";74;190.4;"taxoncoccinellidae";-1.163;0.315289799349939;-3.69;-1.781;-0.545;0
"Beetle abundance - Minimal model";"lit_id";1.28608624184567;181.091;62;"<0.0001";74;190.4;"taxonothers";-0.754;0.565091923580974;-1.334;-1.861;0.354;0.182
"Beetle abundance - Minimal model";"lit_id";1.28608624184567;181.091;62;"<0.0001";74;190.4;"taxonstaphylinidae";0.021;0.215129775723373;0.096;-0.401;0.442;0.924
"Beetle abundance - Minimal model";"lit_id";1.28608624184567;181.091;62;"<0.0001";74;190.4;"tas_mean:land_div";1.878;0.689330285608129;2.725;0.527;3.229;0.006
"Beetle abundance - Minimal model";"lit_id";1.28608624184567;181.091;62;"<0.0001";74;190.4;"tas_winter:land_div";-0.973;0.406149802343738;-2.395;-1.769;-0.177;0.017
"Beetle species richness - Overall effect";"lit_id";0.814994210577079;240.485;56;"<0.0001";57;196.2;"intrcpt";0.877;0.240388904446707;3.648;0.406;1.348;0.000264298047815861
"Beetle species richness - Overall effect";"lit_id/effect_id";0.477284310613481;240.485;56;"<0.0001";57;196.2;"intrcpt";0.877;0.240388904446707;3.648;0.406;1.348;0.000264298047815861
"Beetle species richness - Minimal model";"lit_id";0.66214053686395;156.732;47;"<0.0001";57;172.9;"intrcpt";-1.344;1.84463003551529;-0.728;-4.959;2.272;0.466
"Beetle species richness - Minimal model";"lit_id/effect_id";0.174249885726438;156.732;47;"<0.0001";57;172.9;"pr_sum";-0.004;0.00176820903244587;-2.177;-0.007;0;0.029
"Beetle species richness - Minimal model";"lit_id";0.66214053686395;156.732;47;"<0.0001";57;172.9;"pr_winter";0.003;0.00181501556132712;1.906;0;0.007;0.057
"Beetle species richness - Minimal model";"lit_id/effect_id";0.174249885726438;156.732;47;"<0.0001";57;172.9;"tas_winter";1.058;0.329138012331452;3.214;0.413;1.703;0.001
"Beetle species richness - Minimal model";"lit_id";0.66214053686395;156.732;47;"<0.0001";57;172.9;"land_div";0.86;3.68647315965859;0.233;-6.366;8.085;0.816
"Beetle species richness - Minimal model";"lit_id/effect_id";0.174249885726438;156.732;47;"<0.0001";57;172.9;"taxoncoccinellidae";-3.583;0.973094478389451;-3.682;-5.49;-1.676;0
"Beetle species richness - Minimal model";"lit_id";0.66214053686395;156.732;47;"<0.0001";57;172.9;"taxonothers";0.649;0.613395599817892;1.058;-0.553;1.851;0.29
"Beetle species richness - Minimal model";"lit_id/effect_id";0.174249885726438;156.732;47;"<0.0001";57;172.9;"taxonstaphylinidae";-0.013;0.307549251101562;-0.041;-0.615;0.59;0.967
